,S No,AGE,HEIGHT,WEIGHT,SEX,ACTIVITY LEVEL,PAIN 1,PAIN 2,PAIN 3,PAIN 4,MBTI,E,I,S,N,T,F,J,P,POSTURE
0,1,53,62,125,Female,Low,0.0,0.0,0.0,0.0,ESFJ,0.9084578685373853,-1.0968035620935135,-0.06968492031845568,-0.6744897501960817,-0.31863936396437514,0.10463345561407526,0.7810338115227088,-0.9388143168769032,A
1,2,52,69,157,Male,High,7.0,8.0,5.0,3.0,ISTJ,-0.6045853465832371,0.4727891209922672,-0.28221614706250814,-0.43072729929545756,1.1503493803760079,-1.1503493803760079,0.16421077707933085,-0.2759210631079599,B
2,3,30,69,200,Male,High,0.0,0.0,0.0,0.0,ESTJ,0.4727891209922672,-0.6045853465832371,-0.13971029888186212,-0.5894557978497783,0.31863936396437514,-0.31863936396437514,0.05451891484810106,-0.164210777079331,A
3,4,51,66,175,Male,Moderate,9.5,9.5,9.5,1.5,ISTJ,-0.6045853465832371,0.4727891209922672,0.21042839424792484,-1.0853249080767589,0.10463345561407526,-0.1046334556140754,0.9388143168769032,-1.1243382315686392,D
4,5,45,63,199,Female,Moderate,4.0,5.0,2.0,2.0,ENFJ,0.3487556955170447,-0.4727891209922674,0.13971029888186212,-0.967421566101701,-0.31863936396437514,0.31863936396437514,0.5119362138713294,-0.6406668899191049,A
5,6,68,74,182,Male,Low,0.0,2.5,1.5,0.0,ISFP,-0.9084578685373851,0.7478585947633022,-0.06968492031845568,-0.6744897501960817,-0.1046334556140754,0.10463345561407526,-0.9388143168769032,0.7810338115227088,D
6,7,62,68,263,Male,Low,7.0,10.0,10.0,10.0,ISTP,-0.4727891209922674,0.3487556955170447,0.13971029888186212,-0.967421566101701,0.21042839424792484,-0.2104283942479247,-0.2759210631079599,0.16421077707933085,B
7,8,65,61,143,Female,Low,0.0,9.0,5.0,10.0,ESTJ,0.7478585947633022,-0.9084578685373851,-0.06968492031845568,-0.6744897501960817,0.8122178014999129,-0.8122178014999129,0.6406668899191048,-0.7810338115227088,D
8,9,66,67,180,Male,Low,0.5,3.5,0.5,9.5,ESFJ,1.0968035620935135,-1.335177736118937,0.0,-0.7647096737863871,-0.1046334556140754,0.10463345561407526,0.16421077707933085,-0.2759210631079599,C
9,10,58,69,165,Male,Low,0.0,7.5,7.0,3.0,INFJ,-0.7478585947633022,0.6045853465832371,-0.35549041783953095,-0.35549041783953095,-0.1046334556140754,0.10463345561407526,0.6406668899191048,-0.7810338115227088,D
10,11,61,67,210,Male,Low,5.0,0.0,0.0,9.0,ENTP,0.0,-0.11418529432142838,-0.967421566101701,0.13971029888186212,0.43072729929545744,-0.43072729929545756,-0.164210777079331,0.05451891484810106,B
11,12,33,62,120,Female,Low,0.0,3.0,0.0,0.0,ISFJ,-1.335177736118937,1.0968035620935135,0.28221614706250825,-1.22064034884735,-0.31863936396437514,0.31863936396437514,0.05451891484810106,-0.164210777079331,B
12,13,48,64,127,Female,Low,5.0,7.0,8.0,7.0,ESFJ,0.2298841175792322,-0.3487556955170447,-0.28221614706250814,-0.43072729929545756,-0.31863936396437514,0.31863936396437514,0.27592106310796005,-0.39119625818947174,D
13,14,57,68,185,Male,Low,2.5,7.5,1.5,5.5,ENTJ,0.6045853465832371,-0.7478585947633022,-0.43072729929545756,-0.28221614706250814,0.31863936396437514,-0.31863936396437514,0.6406668899191048,-0.7810338115227088,B
14,15,30,69,190,Male,Moderate,0.0,0.0,4.0,7.0,ESTP,1.3351777361189363,-1.6906216295848977,0.28221614706250825,-1.22064034884735,0.10463345561407526,-0.1046334556140754,-0.5119362138713294,0.39119625818947174,A
15,16,62,71,165,Male,Low,0.0,1.0,0.0,0.0,ISTJ,-1.335177736118937,1.0968035620935135,-0.28221614706250814,-0.43072729929545756,1.382994127100638,-1.382994127100638,0.9388143168769032,-1.1243382315686392,D
16,17,59,66,138,Female,Low,6.0,3.0,6.0,6.0,ESTJ,0.11418529432142824,-0.22988411757923205,0.0,-0.7647096737863871,0.21042839424792484,-0.2104283942479247,1.1243382315686385,-1.3597373839386062,A
17,18,33,72,171,Male,Moderate,4.0,9.0,8.0,0.0,ENFP,0.7478585947633022,-0.9084578685373851,-0.5894557978497783,-0.13971029888186212,-0.1046334556140754,0.10463345561407526,-0.9388143168769032,0.7810338115227088,B
18,19,23,65,110,Female,Low,4.5,8.5,0.0,0.0,ESFP,0.2298841175792322,-0.3487556955170447,-0.2104283942479247,-0.5084880591093566,0.0,0.0,-0.2759210631079599,0.16421077707933085,B
19,20,48,63,154,Female,Low,8.0,8.0,6.0,9.0,ISFP,-0.22988411757923205,0.2298841175792322,-0.13971029888186212,-0.5894557978497783,-0.1046334556140754,0.10463345561407526,-0.2759210631079599,0.16421077707933085,C
20,21,63,66,185,Female,Low,8.0,0.0,3.0,7.0,INFP,-1.335177736118937,1.0968035620935135,-0.5894557978497783,-0.13971029888186212,-0.2104283942479247,0.21042839424792484,-0.05451891484810106,-0.05451891484810106,D
21,22,64,69,176,Male,Low,0.5,0.5,0.5,0.5,ESTP,0.2298841175792322,-0.3487556955170447,0.5084880591093566,-1.9145058250555573,0.6744897501960817,-0.6744897501960817,-0.39119625818947174,0.27592106310796005,B
22,23,71,68,156,Female,Low,2.0,8.0,0.0,6.0,ESTP,0.2298841175792322,-0.3487556955170447,-0.2104283942479247,-0.5084880591093566,0.43072729929545744,-0.43072729929545756,-0.5119362138713294,0.39119625818947174,B
23,24,71,61,140,Female,Low,8.0,3.0,3.0,8.0,ESFJ,0.11418529432142824,-0.22988411757923205,0.3554904178395308,-1.382994127100638,-0.8122178014999129,0.8122178014999129,0.5119362138713294,-0.6406668899191049,D
24,25,50,60,118,Female,Moderate,7.0,5.0,2.0,0.0,INFJ,-1.335177736118937,1.0968035620935135,-0.5084880591093566,-0.2104283942479247,-1.731664396122245,1.7316643961222453,0.05451891484810106,-0.164210777079331,C
25,26,41,65,133,Female,Low,7.0,4.0,0.0,0.0,ISFJ,-1.0968035620935135,0.9084578685373853,0.13971029888186212,-0.967421566101701,-0.8122178014999129,0.8122178014999129,0.27592106310796005,-0.2759210631079599,C
26,27,36,68,165,Male,High,0.0,2.0,0.0,0.0,ESTP,0.6045853465832371,-0.7478585947633022,0.13971029888186212,-0.967421566101701,0.31863936396437514,-0.31863936396437514,-0.5119362138713294,0.39119625818947174,A
27,28,40,62,113,Female,Low,2.0,3.0,0.0,0.0,ISTP,-0.4727891209922674,0.3487556955170447,-0.2104283942479247,-0.5084880591093566,0.21042839424792484,-0.2104283942479247,-0.6406668899191049,0.5119362138713294,D
28,29,26,65,150,Male,Low,1.0,0.0,1.0,2.0,ENTJ,0.4727891209922672,-0.6045853465832371,-0.43072729929545756,-0.28221614706250814,0.10463345561407526,-0.1046334556140754,0.9388143168769032,-1.1243382315686392,D
29,30,43,63,175,Male,Moderate,0.0,0.0,0.0,5.0,ENFP,1.6906216295848986,-2.3263478740408408,-1.0853249080767589,0.21042839424792484,-1.731664396122245,1.7316643961222453,-2.3263478740408408,1.7116753065097288,A
30,31,46,66,222,Male,Low,0.0,0.0,0.0,8.0,ESFP,0.9084578685373853,-1.0968035620935135,-0.28221614706250814,-0.43072729929545756,0.0,0.0,-1.3597373839386062,1.1243382315686385,A
31,32,47,69,152,Male,Low,0.0,0.0,3.5,5.5,ESTJ,0.11418529432142824,-0.22988411757923205,0.06968492031845568,-0.8616341201741723,0.21042839424792484,-0.2104283942479247,0.6406668899191048,-0.7810338115227088,D
32,33,20,67,135,Male,Low,0.0,7.0,0.0,0.0,ESTP,0.4727891209922672,-0.6045853465832371,-0.28221614706250814,-0.43072729929545756,0.21042839424792484,-0.2104283942479247,-1.1243382315686392,0.9388143168769032,B
33,34,34,73,200,Male,Low,0.0,8.0,6.0,0.0,ENTJ,1.6906216295848986,-2.3263478740408408,-0.967421566101701,0.13971029888186212,0.31863936396437514,-0.31863936396437514,0.5119362138713294,-0.6406668899191049,C
34,35,54,62,190,Female,Low,0.0,5.0,4.0,0.0,ISFP,-0.9084578685373851,0.7478585947633022,0.21042839424792484,-1.0853249080767589,-0.31863936396437514,0.31863936396437514,-0.9388143168769032,0.7810338115227088,D
35,36,66,63,142,Female,Low,2.0,0.0,0.0,0.0,ISTJ,-0.9084578685373851,0.7478585947633022,-0.13971029888186212,-0.5894557978497783,0.5485222826980981,-0.5485222826980979,0.7810338115227088,-0.9388143168769032,C
36,37,42,68,170,Male,High,0.0,10.0,0.0,0.0,ENFJ,0.7478585947633022,-0.9084578685373851,-0.5894557978497783,-0.13971029888186212,-0.43072729929545756,0.43072729929545744,0.39119625818947174,-0.5119362138713294,C
37,38,52,66,222,Male,Low,3.0,5.0,4.0,3.0,ENFP,0.7478585947633022,-0.9084578685373851,-1.0853249080767589,0.21042839424792484,-1.731664396122245,1.7316643961222453,-1.3597373839386062,1.1243382315686385,A
38,39,61,63,155,Male,Low,3.5,3.5,3.5,6.0,ESTP,0.9084578685373853,-1.0968035620935135,0.3554904178395308,-1.382994127100638,0.31863936396437514,-0.31863936396437514,-0.6406668899191049,0.5119362138713294,B
39,40,49,69,190,Male,Low,2.0,9.0,5.0,3.0,ENFJ,0.2298841175792322,-0.3487556955170447,-0.5894557978497783,-0.13971029888186212,-0.43072729929545756,0.43072729929545744,1.1243382315686385,-1.3597373839386062,B
40,41,17,69,145,Male,Moderate,0.0,7.0,2.0,0.0,INFP,-0.22988411757923205,0.11418529432142824,-0.7647096737863871,0.0,-0.6744897501960817,0.6744897501960817,-0.05451891484810106,-0.05451891484810106,C
41,42,57,70,160,Male,Low,0.0,7.0,0.0,0.0,ISFP,-0.6045853465832371,0.3487556955170447,-0.06968492031845568,-0.6744897501960817,0.0,0.0,-0.05451891484810106,-0.05451891484810106,D
42,43,82,60,159,Male,Low,0.0,0.0,0.0,0.0,ESFP,1.6906216295848986,-2.3263478740408408,0.13971029888186212,-0.967421566101701,-0.6744897501960817,0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
43,44,48,61,138,Female,Low,0.0,0.0,0.0,0.0,ENFP,1.6906216295848986,-2.3263478740408408,-0.5894557978497783,-0.13971029888186212,-0.967421566101701,0.967421566101701,-1.7116753065097285,1.3597373839386055,A
44,45,80,59,115,Female,Low,0.0,0.0,0.0,0.0,ENFP,1.0968035620935135,-1.335177736118937,-0.5084880591093566,-0.2104283942479247,-0.6744897501960817,0.6744897501960817,-1.1243382315686392,0.9388143168769032,A
45,46,66,66,184,Male,Low,4.0,3.0,0.0,0.0,ISTJ,-0.11418529432142838,0.0,0.0,-0.7647096737863871,1.1503493803760079,-1.1503493803760079,0.27592106310796005,-0.39119625818947174,D
46,47,63,62,150,Female,Low,2.0,10.0,0.0,4.0,ISFP,-0.22988411757923205,0.11418529432142824,0.13971029888186212,-0.967421566101701,-2.3263478740408408,2.3263478740408408,-0.9388143168769032,0.7810338115227088,D
47,48,13,62,127,Female,Low,3.0,2.0,2.0,5.0,ENFJ,1.6906216295848986,-2.3263478740408408,-0.8616341201741723,-0.06968492031845568,-1.382994127100638,1.1503493803760079,0.16421077707933085,-0.2759210631079599,B
48,49,20,68,155,Male,Low,1.0,4.0,1.0,2.0,ESTP,0.6045853465832371,-0.7478585947633022,-0.06968492031845568,-0.6744897501960817,0.31863936396437514,-0.31863936396437514,-0.164210777079331,0.05451891484810106,B
49,50,18,66,150,Female,Low,3.0,3.0,5.0,6.0,INFJ,-0.4727891209922674,0.11418529432142824,-0.35549041783953095,-0.35549041783953095,-0.43072729929545756,0.43072729929545744,0.7810338115227088,-0.9388143168769032,B
50,51,56,62,130,Female,Low,0.0,2.0,0.0,0.0,ESFP,0.9084578685373853,-1.0968035620935135,0.21042839424792484,-1.22064034884735,-0.8122178014999129,0.8122178014999129,-0.164210777079331,0.05451891484810106,C
51,52,56,64,165,Male,Low,0.0,5.0,0.0,0.0,ENTP,0.6045853465832371,-0.7478585947633022,-0.43072729929545756,-0.28221614706250814,0.43072729929545744,-0.43072729929545756,-0.9388143168769032,0.6406668899191048,B
52,53,50,65,172,Female,Low,0.0,0.0,0.0,3.0,ESFP,0.3487556955170447,-0.4727891209922674,0.06968492031845568,-0.8616341201741723,-1.731664396122245,1.7316643961222453,-0.7810338115227088,0.6406668899191048,A
53,54,19,68,113,Female,Low,0.0,4.0,6.0,2.0,INFJ,-0.4727891209922674,0.3487556955170447,0.0,-0.7647096737863871,0.0,0.0,0.27592106310796005,-0.39119625818947174,D
54,55,47,63,128,Female,Low,7.5,4.0,3.0,7.5,ESFJ,0.6045853465832371,-0.7478585947633022,-0.13971029888186212,-0.5894557978497783,-0.2104283942479247,0.21042839424792484,0.27592106310796005,-0.39119625818947174,B
55,56,62,61,150,Female,Low,2.0,2.0,2.0,2.0,ESTJ,0.7478585947633022,-0.9084578685373851,0.13971029888186212,-0.967421566101701,-0.43072729929545756,0.43072729929545744,0.5119362138713294,-0.6406668899191049,B
56,57,29,68,145,Female,Moderate,0.0,9.0,2.0,0.0,ESFP,1.0968035620935135,-1.335177736118937,-0.13971029888186212,-0.5894557978497783,-0.967421566101701,0.967421566101701,-0.6406668899191049,0.5119362138713294,B
57,58,20,70,250,Male,Low,4.0,8.0,2.0,5.0,ESFP,0.7478585947633022,-0.9084578685373851,-0.28221614706250814,-0.43072729929545756,-0.5485222826980979,0.5485222826980981,-0.9388143168769032,0.7810338115227088,B
58,59,43,62,160,Female,Low,0.0,5.0,0.0,0.0,ISFJ,-0.22988411757923205,0.11418529432142824,0.28221614706250825,-1.22064034884735,-0.8122178014999129,0.8122178014999129,0.7810338115227088,-0.9388143168769032,C
59,60,43,64,183,Male,Low,0.0,3.0,4.0,0.0,ISTP,-0.9084578685373851,0.7478585947633022,-0.2104283942479247,-0.5084880591093566,0.31863936396437514,-0.31863936396437514,-0.2759210631079599,0.16421077707933085,B
60,61,42,63,166,Female,Low,0.0,0.0,0.0,8.0,ESFJ,1.6906216295848986,-2.3263478740408408,0.13971029888186212,-0.967421566101701,-1.1503493803760079,1.1503493803760079,0.5119362138713294,-0.6406668899191049,B
61,62,25,67,160,Male,Low,5.0,0.0,8.0,0.0,ESTP,0.6045853465832371,-0.7478585947633022,0.06968492031845568,-0.8616341201741723,0.8122178014999129,-0.8122178014999129,-0.5119362138713294,0.39119625818947174,A
62,63,21,62,118,Female,Low,7.5,2.5,6.5,0.0,ESFP,0.0,-0.11418529432142838,0.06968492031845568,-0.8616341201741723,-0.2104283942479247,0.21042839424792484,-0.7810338115227088,0.6406668899191048,B
63,64,28,62,200,Male,Low,0.0,8.0,0.0,5.0,ENTP,0.9084578685373853,-1.0968035620935135,-0.5084880591093566,-0.2104283942479247,0.967421566101701,-0.967421566101701,-0.2759210631079599,0.16421077707933085,C
64,65,42,70,170,Male,Low,0.0,4.0,0.0,0.0,ESFP,0.9084578685373853,-1.0968035620935135,-0.06968492031845568,-0.6744897501960817,-0.8122178014999129,0.8122178014999129,-0.6406668899191049,0.5119362138713294,A
65,66,18,62,110,Female,Low,4.0,5.0,0.0,0.0,ISTJ,-0.9084578685373851,0.7478585947633022,0.28221614706250825,-1.22064034884735,0.10463345561407526,-0.1046334556140754,1.1243382315686385,-1.3597373839386062,B
66,67,24,73,155,Male,High,2.0,3.0,0.0,0.0,INTJ,-0.7478585947633022,0.6045853465832371,-0.6744897501960817,-0.06968492031845568,0.21042839424792484,-0.2104283942479247,0.6406668899191048,-0.7810338115227088,C
67,68,39,70,200,Male,Moderate,0.0,3.0,0.0,0.0,ENTP,0.9084578685373853,-1.0968035620935135,-1.0853249080767589,0.21042839424792484,0.6744897501960817,-0.6744897501960817,-0.5119362138713294,0.39119625818947174,B
68,69,60,68,222,Male,Low,0.5,0.5,0.5,2.5,ISTP,-0.4727891209922674,0.3487556955170447,0.06968492031845568,-0.8616341201741723,0.31863936396437514,-0.31863936396437514,-1.1243382315686392,0.9388143168769032,C
69,70,37,60,105,Female,Low,2.0,8.0,2.0,6.0,INFP,-0.22988411757923205,0.11418529432142824,-0.6744897501960817,-0.06968492031845568,-0.967421566101701,0.967421566101701,-1.3597373839386062,1.1243382315686385,D
70,71,30,67,135,Female,Low,5.0,5.0,0.0,1.0,ESFP,1.0968035620935135,-1.335177736118937,0.21042839424792484,-1.0853249080767589,0.0,0.0,-0.39119625818947174,0.27592106310796005,A
71,72,45,67,148,Male,Low,2.0,3.0,0.0,5.0,ISFJ,-0.7478585947633022,0.6045853465832371,0.0,-0.7647096737863871,0.0,0.0,0.6406668899191048,-0.7810338115227088,C
72,73,45,65,160,Female,Low,2.0,3.0,0.0,0.0,ENTJ,0.6045853465832371,-0.7478585947633022,-0.35549041783953095,-0.35549041783953095,0.21042839424792484,-0.2104283942479247,0.16421077707933085,-0.2759210631079599,B
73,74,53,73,170,Male,Low,0.0,0.0,0.0,0.0,ESFJ,0.6045853465832371,-0.7478585947633022,-0.28221614706250814,-0.43072729929545756,0.0,0.0,0.6406668899191048,-0.7810338115227088,C
74,75,49,71,230,Male,Moderate,0.0,4.0,0.0,4.0,ESTJ,0.4727891209922672,-0.6045853465832371,-0.2104283942479247,-0.5084880591093566,0.6744897501960817,-0.6744897501960817,0.6406668899191048,-0.7810338115227088,B
75,76,45,67,160,Female,Low,2.0,0.0,2.0,0.0,ISFJ,-1.0968035620935135,0.9084578685373853,-0.06968492031845568,-0.6744897501960817,0.0,0.0,0.7810338115227088,-0.9388143168769032,A
76,77,55,74,240,Male,Low,0.0,7.0,0.0,4.0,ESTP,0.6045853465832371,-0.7478585947633022,-0.28221614706250814,-0.43072729929545756,0.5485222826980981,-0.5485222826980979,-0.05451891484810106,-0.05451891484810106,C
77,78,45,64,118,Female,Moderate,0.0,4.0,0.0,4.0,ISFP,-0.7478585947633022,0.6045853465832371,0.0,-0.7647096737863871,-0.1046334556140754,0.10463345561407526,-0.6406668899191049,0.5119362138713294,D
78,79,75,63,143,Female,Low,4.0,6.0,4.0,6.0,ESTJ,0.11418529432142824,-0.22988411757923205,-0.06968492031845568,-0.6744897501960817,0.10463345561407526,-0.1046334556140754,0.5119362138713294,-0.6406668899191049,B
79,80,44,66,200,Female,Low,2.0,3.0,2.0,0.0,ENFP,0.9084578685373853,-1.0968035620935135,-0.6744897501960817,-0.06968492031845568,-0.8122178014999129,0.8122178014999129,-0.05451891484810106,-0.05451891484810106,B
80,81,48,71,145,Male,Low,0.0,7.0,4.0,0.0,INFP,-1.0968035620935135,0.9084578685373853,-0.5084880591093566,-0.2104283942479247,-0.6744897501960817,0.6744897501960817,-0.9388143168769032,0.7810338115227088,C
81,82,49,64,155,Female,Low,4.0,7.0,3.0,5.0,ESFP,0.11418529432142824,-0.22988411757923205,-0.13971029888186212,-0.5894557978497783,-0.967421566101701,0.8122178014999129,-0.2759210631079599,0.16421077707933085,C
82,83,16,58,81,Female,Low,0.0,0.0,2.0,0.0,INFP,-0.3487556955170447,0.2298841175792322,-0.35549041783953095,-0.35549041783953095,-0.1046334556140754,0.10463345561407526,-0.7810338115227088,0.6406668899191048,D
83,84,39,60,88,Female,Low,3.0,1.0,0.0,0.0,ESFP,0.2298841175792322,-0.3487556955170447,-0.43072729929545756,-0.28221614706250814,-0.5485222826980979,0.43072729929545744,-0.7810338115227088,0.6406668899191048,B
84,85,19,68,125,Female,Low,0.0,3.0,0.0,0.0,ENTJ,0.9084578685373853,-1.0968035620935135,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,0.05451891484810106,-0.164210777079331,D
85,86,11,60,68,Male,High,5.0,3.0,1.0,0.0,ENFP,1.3351777361189363,-1.6906216295848977,-0.8616341201741723,0.06968492031845568,-1.1503493803760079,1.1503493803760079,-2.3263478740408408,1.7116753065097288,A
86,87,55,65,198,Male,Low,4.0,2.5,3.0,8.0,ENTP,1.3351777361189363,-1.6906216295848977,-0.43072729929545756,-0.28221614706250814,0.6744897501960817,-0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
87,88,28,67,180,Female,Low,0.0,0.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,0.28221614706250825,-0.28221614706250814,-0.43072729929545756,0.43072729929545744,0.27592106310796005,-0.39119625818947174,B
88,89,22,65,193,Female,Low,5.0,7.0,7.0,0.0,ESFJ,0.7478585947633022,-0.9084578685373851,-0.28221614706250814,-0.43072729929545756,-0.5485222826980979,0.5485222826980981,0.39119625818947174,-0.5119362138713294,B
89,90,56,67,150,Female,Low,0.0,7.0,0.0,0.0,ISFP,-0.22988411757923205,0.11418529432142824,-0.2104283942479247,-0.5084880591093566,-0.967421566101701,0.967421566101701,-0.7810338115227088,0.6406668899191048,C
90,91,29,65,125,Female,Moderate,2.0,0.0,0.0,4.0,ENFP,1.0968035620935135,-1.335177736118937,-0.35549041783953095,-0.35549041783953095,0.0,0.0,-0.164210777079331,0.05451891484810106,A
91,92,16,69,130,Female,Moderate,5.0,0.0,5.0,7.0,ENFJ,1.0968035620935135,-1.335177736118937,-0.6744897501960817,-0.06968492031845568,-1.382994127100638,1.382994127100638,0.05451891484810106,-0.164210777079331,B
92,93,16,58,100,Male,Moderate,0.0,0.0,0.0,3.0,ESTP,1.0968035620935135,-1.335177736118937,0.28221614706250825,-1.22064034884735,0.8122178014999129,-0.8122178014999129,-1.3597373839386062,1.1243382315686385,B
93,94,45,62,134,Female,Moderate,0.0,4.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,-0.06968492031845568,-0.6744897501960817,-0.6744897501960817,0.6744897501960817,0.16421077707933085,-0.2759210631079599,B
94,95,43,69,188,Male,Moderate,2.0,0.0,0.0,0.0,ENFP,0.11418529432142824,-0.22988411757923205,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
95,96,28,67,180,Female,Low,0.0,0.0,0.0,0.0,ESFJ,0.0,-0.11418529432142838,0.28221614706250825,-0.28221614706250814,-0.43072729929545756,0.43072729929545744,0.27592106310796005,-0.39119625818947174,B
96,97,43,69,188,Male,Moderate,4.0,0.0,0.0,0.0,ENFP,0.11418529432142824,-0.22988411757923205,-0.6744897501960817,-0.06968492031845568,-0.6744897501960817,0.6744897501960817,-1.3597373839386062,1.1243382315686385,A
